row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
36,8513331360,11.25,12.0,9.9,15.75,14.25,10.75,14.3,12.5,16.75,13.0,15.5,18.1,15.0,11.0,13.0,13.5,15.5,13.75,16.0,13.6,14.48,f
37,8513331370,13.0,13.0,13.0,14.75,16.0,14.5,16.5,13.0,13.5,16.2,19.5,17.0,18.0,17.0,19.0,18.5,16.7,15.5,16.0,20.0,16.78,m
38,8513331380,13.75,10.0,16.3,9.0,10.75,10.0,11.5,13.0,16.0,16.9,14.0,15.9,15.5,17.5,14.0,12.0,12.5,10.5,17.0,16.4,14.81,m
39,8513331390,11.0,7.0,16.5,11.75,12.0,6.0,10.0,12.0,10.0,10.0,13.25,11.9,13.0,14.0,12.5,11.5,10.0,13.0,12.5,11.0,12.25,m
40,8513331400,11.0,9.5,8.5,11.75,6.0,12.0,11.6,20.0,19.0,10.25,13.0,16.4,13.0,15.0,16.0,11.5,13.0,16.75,11.0,12.0,14.05,f
41,8513331410,14.0,15.5,16.7,14.25,19.5,16.0,19.0,14.5,12.25,18.5,13.0,20.0,13.5,17.5,15.0,10.25,13.5,10.0,12.0,9.5,12.79,f
42,8513331410,11.0,6.0,8.0,9.0,13.3,13.0,10.6,10.5,12.5,8.5,17.5,16.1,13.5,9.5,15.0,10.25,11.0,10.0,12.0,9.5,13.01,m
43,8513331420,11.0,11.75,9.0,11.75,13.0,14.0,14.2,10.0,16.0,11.75,15.0,16.8,14.25,17.5,16.5,14.0,14.5,15.0,15.0,14.8,14.86,m
44,8513331430,11.5,8.5,9.9,16.75,11.25,11.75,10.0,11.25,10.5,10.25,13.2,16.7,13.0,13.0,15.0,10.0,10.0,11.25,10.0,12.3,12.89,f
45,8513331470,13.25,8.5,19.0,16.25,9.0,13.5,18.5,16.0,16.25,15.6,18.5,11.0,12.0,14.0,18.5,12.75,12.0,11.25,16.5,14.0,15.29,m
46,8513331480,13.25,13.0,12.9,13.75,12.5,13.0,6.0,14.75,15.0,8.5,14.5,17.1,15.25,17.0,18.5,15.5,10.0,11.25,13.5,15.75,15.36,f
